case_id,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept_tag,severity
C11,PCs on VLAN 10 receive 169.254.x.x APIPA addresses.,R1 DHCP server; pool for 192.168.10.0/24; helper-address not set on SVI.,show ip dhcp pool: pool VLAN10 exists | show run int Vlan10: no ip helper-address,ip helper-address missing on SVI; DHCP Discover not forwarded to server.,Layer 3,DHCP,High
C12,DHCP clients get addresses but cannot reach internet; DNS fails.,R1 DHCP pool; dns-server option points to 8.8.4.4 but NAT blocks UDP 53.,show ip dhcp binding: leases present | show access-lists: deny udp any any eq 53,ACL blocking UDP port 53 outbound; DNS queries dropped.,Layer 4,DNS / ACL,High
C13,DHCP pool exhausted; new devices get no IP.,R1 pool 192.168.1.0/24; excluded range too small; 250 clients.,show ip dhcp pool: utilization 100% | show ip dhcp binding: 253 entries,DHCP pool exhausted; excluded range or pool size needs adjustment.,Layer 3,DHCP,High
C14,Clients get IPs from wrong subnet after adding second DHCP pool.,R1 two pools: VLAN10 192.168.10.0/24 and VLAN20 192.168.20.0/24; network statements overlap.,show ip dhcp pool: Pool VLAN10 network 192.168.10.0 | Pool VLAN20 network 192.168.10.0 (typo),VLAN20 pool has wrong network statement; clients get VLAN10 addresses.,Layer 3,DHCP,Medium
C15,Hostname resolution fails inside the LAN; IP pings work fine.,Internal DNS server 192.168.1.53; clients point to 192.168.1.54 (wrong IP).,ipconfig /all: DNS Server 192.168.1.54 | nslookup server1: timeout,Wrong DNS server IP in DHCP options; clients cannot resolve hostnames.,Layer 7,DNS,Medium
C16,R2 cannot reach 10.0.3.0/24 network behind R3.,R1-R2-R3 serial links; static route on R2 missing for 10.0.3.0/24.,show ip route R2: no entry for 10.0.3.0 | show run R2: no ip route 10.0.3.0,Missing static route on R2 for 10.0.3.0/24 via R3 next-hop.,Layer 3,Static Routing,High
C17,OSPF neighbours stuck in EXSTART state between R1 and R2.,R1 and R2 FastEthernet link; MTU mismatch 1500 vs 1476.,show ip ospf neighbor: EXSTART | show interfaces Fa0/0: MTU 1476 bytes,MTU mismatch prevents OSPF DBD exchange; ip ospf mtu-ignore needed.,Layer 3,OSPF,High
C18,OSPF routes appear then disappear every 40 seconds.,R1-R2 OSPF area 0; hello/dead timers mismatched.,show ip ospf interface: Hello 10 Dead 40 on R1 | Hello 30 Dead 120 on R2,OSPF hello/dead timer mismatch; adjacency flaps.,Layer 3,OSPF,High
C19,Floating static route takes over even when primary link is up.,R1 primary route AD 1; floating static AD 5; primary interface up.,show ip route: S 10.0.0.0 [5/0] active | primary interface up/up,Primary static route missing or misconfigured; floating route incorrectly preferred.,Layer 3,Static Routing,Medium
C20,R3 not receiving OSPF routes from area 1 into area 0.,R2 ABR between area 0 and area 1; area 1 not defined on R2.,show ip ospf: R2 area 0 only | show run R2: no network in area 1,R2 not configured as ABR; area 1 network statement missing.,Layer 3,OSPF,High
C21,All traffic from 192.168.10.0/24 is blocked including permitted hosts.,R1 inbound ACL on Gi0/0; deny statement before permit.,show access-lists: 10 deny 192.168.10.0 0.0.0.255 (matched) | 20 permit any,Deny rule placed before permit; all subnet traffic denied due to ACL order.,Layer 3,Standard ACL,High
C22,FTP (port 21) blocked but HTTP works fine from same host.,R1 extended ACL 101 applied outbound on Gi0/1.,show access-lists 101: deny tcp any any eq 21 (45 matches) | permit ip any any,Extended ACL explicitly denying TCP port 21; FTP control channel blocked.,Layer 4,Extended ACL,Medium
C23,ACL applied but traffic still passes; no matches on deny rule.,R1 ACL 102 created but not applied to any interface.,show access-lists 102: deny ip 10.0.0.0 0.255.255.255 any (0 matches) | show run: no ip access-group on interfaces,ACL defined but not applied to interface with ip access-group command.,Layer 3,Standard ACL,Medium
C24,Guest VLAN can reach internal servers; isolation expected.,R1 ACL for guest VLAN 99 missing; all traffic permitted by default.,show access-lists: no ACL referencing 172.16.99.0 | show run int Gi0/0.99: no ip access-group,No ACL applied to guest sub-interface; guest traffic reaches internal subnets.,Layer 3,Extended ACL,Critical
C25,Return traffic for established TCP sessions blocked by ACL.,R1 inbound ACL permits only specific source IPs; no established keyword.,show access-lists: permit tcp 192.168.1.0 0.0.0.255 any | no established keyword,ACL missing 'established' keyword; return TCP packets (ACK set) dropped.,Layer 4,Extended ACL,High
C26,Internal hosts cannot reach internet after NAT configured on R1.,R1 NAT overload; inside/outside interfaces not marked.,show ip nat translations: empty | show run: ip nat inside source list 1 interface Gi0/1 overload | no ip nat inside on Gi0/0,ip nat inside not applied to LAN interface; NAT translations not created.,Layer 3,NAT,High
C27,Static NAT entry exists but external host cannot reach internal server.,R1 static NAT 203.0.113.10 → 192.168.1.10; ACL blocks inbound on outside interface.,show ip nat translations: 203.0.113.10 → 192.168.1.10 | show access-lists: deny ip any 203.0.113.0 0.0.0.255,Inbound ACL on outside interface blocking translated traffic before NAT lookup.,Layer 3,NAT / ACL,High
C28,PAT stops working after ISP changes public IP; all sessions drop.,R1 PAT using fixed public IP 203.0.113.5; ISP assigned new IP.,show ip nat translations: no active translations | show run: ip nat inside source list 1 pool MYPOOL,NAT pool contains old public IP; update pool or use interface keyword for dynamic IP.,Layer 3,PAT,High
C29,Wireless clients associate to AP but get no IP address.,WLC + AP; SSID mapped to VLAN 30; DHCP scope for VLAN 30 missing on server.,show wireless client: associated | DHCP server: no scope for 192.168.30.0/24,DHCP scope for WLAN VLAN 30 not configured; clients get APIPA.,Layer 3,Wireless / DHCP,High
C30,Wireless clients on guest SSID can reach corporate internal servers.,WLC; guest SSID on VLAN 99; client isolation disabled; no ACL on VLAN 99 SVI.,show wlan: client isolation disabled | show run int Vlan99: no ip access-group,Client isolation disabled and no ACL; guest traffic reaches corporate network.,Layer 2/3,Wireless Security,Critical
